source,split,profile,row,method,gap_rmse,gap_nrmse,gap_mae,visible_rmse,whole_rmse,gap_correlation,whole_correlation,selected_on_validation
v3,validation,short_gaps,12000,zero_fill,0.634719113099549,1.0,0.43342487479230823,0.0,0.11220354725535056,,0.9955996149179046,
v3,validation,short_gaps,12000,linear,0.6463733190260926,1.0183612021223565,0.464635927553794,0.0,0.11426373926535144,0.12227508716156472,0.9954359243373818,
v3,validation,short_gaps,12000,pchip,0.6581498469074732,1.0369151224917492,0.49012334593131335,0.0,0.1163455549462906,0.09972232909055541,0.9952703951197533,
v3,validation,short_gaps,12000,autoregression,2.073584373034934,3.2669323016112077,1.0500139122233862,0.0,0.36656139288386436,0.3057259160243834,0.9562147433143868,
v3,validation,short_gaps,12000,pca_r32_l01,3.1020058974587665,4.887210473796225,2.2125199612807647,0.0,0.548362351343439,-0.07028845122631074,0.907348355734784,
v3,validation,short_gaps,12000,pca_r64_l01,1.8756897147309468,2.9551492558201327,1.3497457286665882,0.0,0.33157822917202834,0.39804400393737527,0.9638859650017104,
v3,validation,short_gaps,12000,pca_r96_l01,1.2694593170211663,2.0000332285914086,0.9360337169749136,0.0,0.22441082287652747,0.48575270824354466,0.9829126113408564,
v3,validation,short_gaps,12000,pca_r64_l001,2.055131988003942,3.237860567910165,1.4834322109708422,0.0,0.3632994412377445,0.4031541484946985,0.957204986304873,
v3,validation,short_gaps,12000,pca_r64_l1,1.2269186960460354,1.9330104777443597,0.9248049930711314,0.0,0.21689063248467705,0.3587011681104075,0.9839114983168754,
v3,validation,short_gaps,12000,template_1,0.5648476860376228,0.8899175625565767,0.3577748639778233,0.0,0.09985190728368325,0.4489727660696337,0.9965151093548796,
v3,validation,short_gaps,12000,dictionary_8,1.0831666820927643,1.7065291713105875,0.8865476509579198,0.0,0.19147862651578174,0.057050593870204,0.987280756935062,
v3,validation,short_gaps,12000,dictionary_24,1.094042377073234,1.7236638293916398,0.8964817582637924,0.0,0.19340119593348337,-0.04435089230302401,0.9870070326661166,
v3,validation,short_gaps,12000,dictionary_48,1.1612027677050916,1.8294750287801231,0.9519350445727957,0.0,0.2052735878442144,-0.1599624673132826,0.9853665364618949,
v3,validation,short_gaps,12000,local_pca_8,0.8620204711620081,1.3581133029892063,0.6264116162841589,0.0,0.15238513017006966,-0.0481403388046131,0.9918907636421594,
v3,validation,short_gaps,12000,local_pca_16,0.8954540301337153,1.4107878771145068,0.6922758709112381,0.0,0.1582954042370933,0.36611781308679603,0.991308282468624,
v3,validation,short_gaps,12000,local_pca_32,1.609075028801573,2.535097802465587,1.1516229456090556,0.0,0.2844469660758829,0.10245709652590027,0.9725900844497589,
v3,validation,short_gaps,12000,local_dictionary_8,0.9260778879749986,1.4590357669436576,0.7083004193353446,0.0,0.16370898862350933,-0.09027763578540214,0.9906479430980609,
v3,validation,short_gaps,12000,local_dictionary_24,0.9506775269405542,1.4977924995799685,0.7321317366560409,0.0,0.16805763150533065,0.08869363589151745,0.9901692962720402,
v3,validation,short_gaps,12113,zero_fill,2.1026089705702504,1.0,1.5006990831653635,0.0,0.3716922653184725,,0.953130670138119,
v3,validation,short_gaps,12113,linear,2.379967164308232,1.1319114479297399,1.8264746920560733,0.0,0.4207227302209173,-0.018669944722285284,0.9402160577170675,
v3,validation,short_gaps,12113,pchip,2.4324354831089874,1.1568653597293863,1.7495568520606137,0.0,0.42999790622628514,-0.015629050999347603,0.9375577849052895,
v3,validation,short_gaps,12113,autoregression,2.088325882060836,0.9932069687187054,1.5994124050587177,0.0,0.36916734813314883,0.4907615340333672,0.9547332180017106,
v3,validation,short_gaps,12113,pca_r32_l01,2.15201115305424,1.0234956585724977,1.6244927188168137,0.0,0.3804254198784336,0.24321023630683844,0.9510077589698499,
v3,validation,short_gaps,12113,pca_r64_l01,1.4127750476749175,0.6719152574012645,1.0628958010477922,0.0,0.2497457041255205,0.7943813257401928,0.9795285418245371,
v3,validation,short_gaps,12113,pca_r96_l01,3.797970929325486,1.80631348124394,2.7937156240461904,0.0,0.6713927497188563,0.5071375512450153,0.8787150674559701,
v3,validation,short_gaps,12113,pca_r64_l001,1.5776558502276685,0.7503325022910898,1.1783157645627447,0.0,0.27889278751865315,0.7719742130488536,0.9748006940752518,
v3,validation,short_gaps,12113,pca_r64_l1,1.1834954161916333,0.5628699547832028,0.9455954520264631,0.0,0.20921440857307483,0.8347815492313677,0.9854241105631845,
v3,validation,short_gaps,12113,template_1,2.154502335975869,1.0246804641908973,1.553102618141105,0.0,0.38086580296269856,-0.09143649644531107,0.9507286674402626,
v3,validation,short_gaps,12113,dictionary_8,2.1569980975510106,1.025867447415108,1.5623845828710334,0.0,0.38130699544620034,-0.09111819995364083,0.9506127969018374,
v3,validation,short_gaps,12113,dictionary_24,2.151000338160094,1.0230149154061297,1.5530325584270401,0.0,0.38024673136188986,-0.052078334946227274,0.9508944354571206,
v3,validation,short_gaps,12113,dictionary_48,2.174660478548758,1.0342676688756667,1.5907746190471221,0.0,0.3844292927900524,-0.09853069386908353,0.9497854746498061,
v3,validation,short_gaps,12113,local_pca_8,2.620944796503182,1.2465203150885222,1.86745226637531,0.0,0.46332195968074896,-0.22617453135089263,0.9270432312022268,
v3,validation,short_gaps,12113,local_pca_16,1.774114956676824,0.843768376102602,1.3021099069334905,0.0,0.313622179117665,0.5481184768025049,0.966874553827727,
v3,validation,short_gaps,12113,local_pca_32,1.5043028803831695,0.7154458586634804,1.082742630248605,0.0,0.26592569191934873,0.7297878186777252,0.9764662363571405,
v3,validation,short_gaps,12113,local_dictionary_8,2.059902212621823,0.9796886827050657,1.440988014714277,0.0,0.36414270578151614,0.1967805730576785,0.9550563653146326,
v3,validation,short_gaps,12113,local_dictionary_24,2.3690551198587895,1.1267216838784226,1.6167986187932435,0.0,0.41879373506421474,-0.3294217401485907,0.9402480627548645,
v3,validation,short_gaps,12226,zero_fill,2.7335619577193895,1.0,1.8500968047792417,0.0,0.4832300492742387,,0.9313232252023336,
v3,validation,short_gaps,12226,linear,3.159114316963757,1.1556768662377077,2.1716476245572838,0.0,0.5584577890171453,-0.05928769945745643,0.908158058671374,
v3,validation,short_gaps,12226,pchip,3.060569873054145,1.1196270362233085,2.1255966451184314,0.0,0.5410374278829593,-0.0748982584458356,0.9136525512304111,
v3,validation,short_gaps,12226,autoregression,2.8892765077474647,1.0569639731736638,2.187036641924869,0.0,0.5107567528378046,0.5954001106869078,0.9297436212954996,
v3,validation,short_gaps,12226,pca_r32_l01,4.506755843119105,1.6486752130831859,2.8049724581861484,0.0,0.7966894044554039,-0.01082077330992867,0.8284689233994814,
v3,validation,short_gaps,12226,pca_r64_l01,4.279986173900911,1.5657176387806124,3.298950194040139,0.0,0.7566018117375,0.0760936204903258,0.8449309014694868,
v3,validation,short_gaps,12226,pca_r96_l01,4.4906803231416275,1.6427944171743603,2.8786204441367462,0.0,0.7938476271586103,-0.45725705558084023,0.8193655722258341,
v3,validation,short_gaps,12226,pca_r64_l001,4.6340729179277425,1.6952507349765538,3.5703826570423556,0.0,0.8191960961949094,0.09817867877201296,0.8253048484041333,
v3,validation,short_gaps,12226,pca_r64_l1,3.440094043477761,1.2584657295815718,2.4538462424119523,0.0,0.6081284565156437,-0.04810757483565567,0.892003911836776,
v3,validation,short_gaps,12226,template_1,2.8079534828974095,1.0272141353767175,1.9755755019658534,0.0,0.4963807372532857,-0.1183885399660008,0.9273978670439164,
v3,validation,short_gaps,12226,dictionary_8,3.0500806424267655,1.1157898337784329,2.0087856217919544,0.0,0.5391831763564469,-0.5433968045989546,0.9139274391678032,
v3,validation,short_gaps,12226,dictionary_24,2.8223650532922964,1.0324862201575982,1.8810538938723091,0.0,0.49892836704172866,-0.05540173472092819,0.9266384430683842,
v3,validation,short_gaps,12226,dictionary_48,2.795690895396339,1.0227281980938832,1.9063077564971163,0.0,0.4942129975590605,-0.0028435356169054606,0.9280627083893378,
v3,validation,short_gaps,12226,local_pca_8,2.687078902657682,0.9829954265604105,1.7855706588437006,0.0,0.47501292841313847,0.18554180012880878,0.9337179335381467,
