source,split,profile,method,row,gap_rmse,gap_nrmse,gap_mae,visible_rmse,whole_rmse,gap_correlation,whole_correlation
chirp_9db,validation,long_gaps,autoregression,13299.083333333334,2.6013340825577393,1.1210298395474314,1.3646545587723216,0.0,0.8603103824305177,0.05217551252298044,0.6333694466719489
chirp_9db,validation,long_gaps,dictionary_24,13299.083333333334,2.435885243742331,1.062759655794386,1.2823322047635601,0.0,0.8055933221542704,0.24214308000652707,0.6817740920761093
chirp_9db,validation,long_gaps,dictionary_48,13299.083333333334,2.4915367523972853,1.0918325793560468,1.3239538035215475,0.0,0.8239983286525913,0.2258695743274298,0.6900014923636859
chirp_9db,validation,long_gaps,dictionary_8,13299.083333333334,2.4441849636882593,1.0788666164870744,1.2632177675041434,0.0,0.8083381965203214,0.2374659478208836,0.7051965405331665
chirp_9db,validation,long_gaps,linear,13299.083333333334,2.4402711102906864,1.0340436302404223,1.3530212677792575,0.0,0.8070438111755784,-0.00018429617487295655,0.6515306633104331
chirp_9db,validation,long_gaps,pca_r32_l01,13299.083333333334,8.187963339749114,4.545676271415003,4.0622669349425236,0.0,2.707914342636253,0.005693959519044121,0.2721182073065823
chirp_9db,validation,long_gaps,pca_r64_l001,13299.083333333334,8.227301520790611,4.449650498260074,4.379142491599766,0.0,2.720924223144433,-0.06591804724176457,0.2164326671032016
chirp_9db,validation,long_gaps,pca_r64_l01,13299.083333333334,4.455512762490433,2.251677046109048,2.5492181179915385,0.0,1.4735223416030099,-0.01701344935197796,0.41042139730018695
chirp_9db,validation,long_gaps,pca_r64_l1,13299.083333333334,2.723053482697804,1.188572442894609,1.4757626515839555,0.0,0.9005652902433394,0.01176484913439065,0.5976608627594812
chirp_9db,validation,long_gaps,pca_r96_l01,13299.083333333334,3.0870037015204246,1.4259835487507058,1.7356920827362385,0.0,1.0209305113198635,0.08986385464840023,0.5732511102263783
chirp_9db,validation,long_gaps,pchip,13299.083333333334,2.458132583941932,1.0461142199934976,1.3881416468822652,0.0,0.8129509383418695,-0.0008279417244893257,0.6483931061389804
chirp_9db,validation,long_gaps,template_1,13299.083333333334,2.7941112349487884,1.2563244374867042,1.3738568114471381,0.0,0.9240654328907573,0.1271135925610197,0.6230453305195981
chirp_9db,validation,long_gaps,zero_fill,13299.083333333334,2.3841886280715303,1.0,1.2548151006391008,0.0,0.7884962735681923,,0.6620119668590062
chirp_9db,validation,mixed_damage,autoregression,13299.083333333334,3.010144957829732,1.0145878282545664,1.7574279660945056,0.5560585607653258,0.9963387500848783,0.16557242293469718,0.6329094084326884
chirp_9db,validation,mixed_damage,dictionary_24,13299.083333333334,2.6646722180901268,1.039903503754015,1.5155743962632415,0.4348410218518926,0.8456227882838205,0.3780326814253014,0.7115859833203858
chirp_9db,validation,mixed_damage,dictionary_48,13299.083333333334,2.9308794426325306,1.199967933513944,1.6769788289870329,0.3663056779133786,0.8572487646068296,0.3280857646151235,0.7029232377416373
chirp_9db,validation,mixed_damage,dictionary_8,13299.083333333334,2.714303756374766,1.042733441760721,1.5554390784785677,0.5449657151563584,0.9270604937540052,0.32400881844270807,0.6524485807416006
chirp_9db,validation,mixed_damage,linear,13299.083333333334,3.0459296545632513,1.0720886473919573,1.7632917974353886,0.5560585607653258,0.9904260622923626,-0.011746583533752917,0.6162987767811415
chirp_9db,validation,mixed_damage,pca_r32_l01,13299.083333333334,4.720564530192286,2.271116241630473,2.870980200909314,0.38504981439924846,1.2480539518953466,0.21117291632982316,0.5456154027418394
chirp_9db,validation,mixed_damage,pca_r64_l001,13299.083333333334,6.626100359528593,3.5105208643575008,3.950333856347673,0.2228819078379277,1.6732391730336795,0.15832343281327468,0.5111528472727204
chirp_9db,validation,mixed_damage,pca_r64_l01,13299.083333333334,3.5907565747744994,1.557487586076311,2.23709453352418,0.23398678371131645,0.9335541820991738,0.20812050258349857,0.6686252153518888
chirp_9db,validation,mixed_damage,pca_r64_l1,13299.083333333334,2.9077637287518088,1.066242081221808,1.6934491779981178,0.307147827647769,0.8179202545422167,0.27639334466676924,0.7128705944349143
chirp_9db,validation,mixed_damage,pca_r96_l01,13299.083333333334,3.0390037782278037,1.1936312495471821,1.8153662437754354,0.16325764817921276,0.7815005245517118,0.26548511249922707,0.7375116860652716
