source,split,profile,row,method,gap_rmse,gap_nrmse,gap_mae,visible_rmse,whole_rmse,gap_correlation,whole_correlation
chirp_9db,validation,short_gaps,12000,zero_fill,2.6192275290383744,1.0,1.7650940558271055,0.0,0.4630183868133798,,0.9358687787112464
chirp_9db,validation,short_gaps,12000,linear,2.8446282252880035,1.08605617257405,1.8089225053773221,0.0,0.5028639770139504,0.08987922509003336,0.9245452097524943
chirp_9db,validation,short_gaps,12000,pchip,3.0226638728991997,1.1540287506098958,1.8749120579598824,0.0,0.5343365304436543,0.06602775662290816,0.9152117429748462
chirp_9db,validation,short_gaps,12000,autoregression,2.4760839659420864,0.9453489391397616,1.5605835798108436,0.0,0.43771394077623244,0.3456207637244782,0.9429193215942594
chirp_9db,validation,short_gaps,12000,pca_r32_l01,9.514853858375622,3.632694660119472,6.063240718736363,0.0,1.682004421314097,0.1506709389336457,0.5939734582996192
chirp_9db,validation,short_gaps,12000,pca_r64_l01,2.592263622011257,0.9897053972103688,1.7668238586199685,0.0,0.4582517964368403,0.49087436851397886,0.9389255821044269
chirp_9db,validation,short_gaps,12000,pca_r96_l01,1.1503558204647508,0.4391965981233763,0.785585292894269,0.0,0.20335610035701,0.9482391846657354,0.9890038055984681
chirp_9db,validation,short_gaps,12000,pca_r64_l001,3.295216128210918,1.2580870091193361,2.1621791798197196,0.0,0.582517417433305,0.31823481965997885,0.9038010771867409
chirp_9db,validation,short_gaps,12000,pca_r64_l1,1.4868132470372357,0.5676533369298794,1.133307493018226,0.0,0.2628339323345047,0.8415820361082139,0.9799083896055766
chirp_9db,validation,short_gaps,12000,template_1,3.16879590665302,1.209820785526187,1.7674579040044844,0.0,0.5601692684476312,0.6095299841339419,0.9186199771227384
chirp_9db,validation,short_gaps,12000,dictionary_8,2.20804942234977,0.843015506621693,1.3667462213913941,0.0,0.39033167993464046,0.5941105880323602,0.9552424169831296
chirp_9db,validation,short_gaps,12000,dictionary_24,1.734629777915061,0.6622676948389874,1.0880483465639925,0.0,0.3066421197029636,0.7621944936732582,0.9724544027823577
chirp_9db,validation,short_gaps,12000,dictionary_48,2.656251965168522,1.0141356318684314,1.6766175972261825,0.0,0.4695634442776887,0.323381277886139,0.934532647067787
chirp_9db,validation,short_gaps,12236,zero_fill,1.7715684299382042,1.0,1.4630313536036614,0.0,0.3131720125363273,,0.9616873146264497
chirp_9db,validation,short_gaps,12236,linear,2.8828310782581803,1.6272761636188895,2.26837457610541,0.0,0.5096173511129215,0.04370011564099635,0.9038171936715328
chirp_9db,validation,short_gaps,12236,pchip,2.984823386207516,1.684847921065986,2.3374312512872453,0.0,0.5276472142578821,0.02871438859907281,0.8975705169325334
chirp_9db,validation,short_gaps,12236,autoregression,1.7144436860979868,0.9677547065781648,1.3760920352916834,0.0,0.3030736891005868,0.3797608040052083,0.9642738121693025
chirp_9db,validation,short_gaps,12236,pca_r32_l01,5.213181519613713,2.9426927187879266,3.7982689250667354,0.0,0.9215690010188118,0.26040590753833714,0.7735254690672191
chirp_9db,validation,short_gaps,12236,pca_r64_l01,10.995059736453763,6.20639855093675,6.453473318686603,0.0,1.9436703247994074,0.3022297198101406,0.5330498187232098
chirp_9db,validation,short_gaps,12236,pca_r96_l01,6.65682349451372,3.7575875602761353,4.2827854381902855,0.0,1.1767712585331453,0.32513627767334863,0.7042550399380452
chirp_9db,validation,short_gaps,12236,pca_r64_l001,17.43934788099726,9.844015950095464,9.905777627325415,0.0,3.082870286531103,0.23413694692408873,0.3780592894212903
