sample,modality,degradation,method,PSNR_dB,SSIM_global,MAE_8bit,RMS_contrast
00,optical,moderate,degraded_input,19.65383261409791,0.8869875472536601,20.5164453125,41.32691959268014
00,optical,moderate,nlm_only_conservative,19.412080987560003,0.8832553505309662,21.146788194444444,40.979078196675886
00,optical,moderate,bilateral_only_conservative,19.638247134009163,0.8860824153511245,20.592669270833333,41.00342192125872
00,optical,moderate,gaussian_clahe,19.27545683195643,0.8856369009077809,21.849240451388887,49.029505609669435
00,optical,moderate,median_clahe,19.35905327559221,0.8872946747527339,21.618493923611112,48.75286479449039
00,optical,moderate,bilateral_clahe,19.70086978995927,0.8971970329176018,20.723676215277777,49.22943806436047
00,optical,moderate,nlm_clahe,19.69104393234148,0.8991629719397767,20.318211805555556,47.88958411571728
00,optical,moderate,nlm_clahe_unsharp,19.736656592720987,0.9010123887410426,20.19478298611111,48.307288179776876
00,optical,moderate,auto_mask_telea_inpaint,18.13001556010368,0.8372334064339065,24.709830729166665,42.29593529367056
00,optical,severe,degraded_input,16.069014452581563,0.7002022920372328,31.972808159722224,28.616046103474613
00,optical,severe,nlm_only_conservative,16.028593716016985,0.6977203414030575,32.24881510416667,27.82826582708131
00,optical,severe,bilateral_only_conservative,16.091797296910407,0.6997395880719971,31.935277777777777,27.988595439751474
00,optical,severe,gaussian_clahe,16.726814504622368,0.7635992918362966,29.755611979166666,38.346386680942636
00,optical,severe,median_clahe,16.762186607578734,0.7647341664922144,29.518450520833333,38.29051207677241
00,optical,severe,bilateral_clahe,17.04705314693414,0.7823491562033981,28.832799479166667,38.49676959174063
00,optical,severe,nlm_clahe,17.05173232151888,0.7790797249740712,28.856957465277777,36.05752059853768
00,optical,severe,nlm_clahe_unsharp,17.068871240183757,0.7806351940900601,28.787764756944444,36.24913162513537
00,optical,severe,auto_mask_telea_inpaint,15.533480363132279,0.6586502217974384,34.58554253472222,30.600775766613303
00,optical,motion,degraded_input,18.88328059758703,0.8631554749190832,22.120772569444444,40.479159658468895
00,optical,motion,nlm_only_conservative,18.755993598860275,0.8614915922349463,22.536414930555555,40.12969619469732
00,optical,motion,bilateral_only_conservative,18.88577172512607,0.862663227396675,22.14376736111111,40.144547200055214
00,optical,motion,gaussian_clahe,18.40764325176639,0.8568550484268027,24.110360243055556,47.45612217969765
00,optical,motion,median_clahe,18.427085550592473,0.8571485016266525,23.95661892361111,47.34431408864588
00,optical,motion,bilateral_clahe,18.813111223324487,0.8709285156758776,22.840360243055557,47.77340744746006
00,optical,motion,nlm_clahe,18.693280321011663,0.8675414272259773,23.008337673611113,46.526210278033915
00,optical,motion,nlm_clahe_unsharp,18.704475500299623,0.8687247177726248,22.94480902777778,46.9185202483752
00,optical,motion,auto_mask_telea_inpaint,18.108271589930425,0.8381103882683244,24.805334201388888,42.05776468104867
00,thermal,moderate,degraded_input,19.951378363139582,0.8967646197778278,22.068463541666667,42.83514213600868
00,thermal,moderate,nlm_only_conservative,20.052752863396744,0.8984688029750567,22.067239583333333,42.25672936000167
00,thermal,moderate,bilateral_only_conservative,19.96080597458899,0.8957123912761116,22.4044921875,41.94132512403603
00,thermal,moderate,gaussian_clahe,17.218606525862477,0.8472819494343111,29.1828515625,47.35475999376634
00,thermal,moderate,median_clahe,17.17594097750955,0.8447765758420344,29.447630208333333,46.8945047310869
00,thermal,moderate,bilateral_clahe,17.71058846290733,0.8641357092553146,27.224114583333332,48.03028648503349
00,thermal,moderate,nlm_clahe,18.32910235025623,0.8788635298738149,25.652330729166668,47.97384328534548
00,thermal,moderate,nlm_clahe_unsharp,18.321704794145045,0.8792922412922723,25.590755208333334,48.39499672281887
00,thermal,moderate,auto_mask_telea_inpaint,19.500844601363884,0.885144929192251,22.899635416666666,43.663797778565744
00,thermal,severe,degraded_input,16.323691822917528,0.713399813210323,34.138736979166666,30.616353523899875
00,thermal,severe,nlm_only_conservative,16.51283299254449,0.7213365947462012,34.03315104166666,29.157158912558444
00,thermal,severe,bilateral_only_conservative,16.54019048801805,0.7219429338712812,34.07776041666666,28.77261116664181
00,thermal,severe,gaussian_clahe,15.120221935251017,0.7087144709622435,38.74028645833334,37.4557036201505
00,thermal,severe,median_clahe,15.1788446240106,0.7122351157423595,38.44665364583334,37.602787392105164
00,thermal,severe,bilateral_clahe,16.20654749030956,0.773278546043415,34.5237890625,37.92479242882797
00,thermal,severe,nlm_clahe,16.6430380524926,0.7854553559335563,33.0003125,37.45516470640055
00,thermal,severe,nlm_clahe_unsharp,16.619091950565814,0.7849711001191508,32.994440104166664,37.78544498477667
00,thermal,severe,auto_mask_telea_inpaint,15.844400103085254,0.6978331051663506,36.018255208333336,33.76376233578835
00,thermal,motion,degraded_input,19.082573580704274,0.8663515952393552,23.6491796875,41.030535415698075
00,thermal,motion,nlm_only_conservative,19.20081166763895,0.8689441790623547,23.60125,40.432552715803276
00,thermal,motion,bilateral_only_conservative,19.16433656693633,0.8675337767255064,23.770885416666665,40.27207630337028
00,thermal,motion,gaussian_clahe,16.851865551115857,0.8260974581901019,30.862265625,46.04817072167
00,thermal,motion,median_clahe,16.855232645415242,0.8236633137342577,30.84171875,45.64882341027873
00,thermal,motion,bilateral_clahe,17.48340889051466,0.8472818943825392,28.630598958333334,46.58768447340608
00,thermal,motion,nlm_clahe,17.929406839445747,0.8564250469256675,27.206419270833333,46.251879620036334
00,thermal,motion,nlm_clahe_unsharp,17.905219845849757,0.8560416363052201,27.197630208333333,46.52358281215645
00,thermal,motion,auto_mask_telea_inpaint,19.020230735831746,0.8681618588581609,23.80743489583333,42.496051661195644
07,optical,moderate,degraded_input,20.7746401179242,0.8596678276912858,17.569322916666668,29.953571546626026
07,optical,moderate,nlm_only_conservative,20.71065577230261,0.8563832656032379,17.663949652777777,29.56841641487898
07,optical,moderate,bilateral_only_conservative,20.770990349566123,0.8585367830392314,17.51919704861111,29.544737137633163
07,optical,moderate,gaussian_clahe,16.705051139597682,0.7907997875816313,28.882369791666665,41.87608051906337
07,optical,moderate,median_clahe,16.79676467016436,0.7931426927850421,28.51859375,41.54562739589229
07,optical,moderate,bilateral_clahe,16.925741949295382,0.8003371782316414,27.96632378472222,41.65900025291633
07,optical,moderate,nlm_clahe,17.261065482149135,0.8108544330795054,26.708020833333332,41.26459787140969
07,optical,moderate,nlm_clahe_unsharp,17.234260964562278,0.810635394873507,26.708372395833333,41.73382636835067
07,optical,moderate,auto_mask_telea_inpaint,18.350876371150918,0.7349795799464631,25.816766493055557,31.6770375007777
07,optical,severe,degraded_input,17.704576501230903,0.6710819174555955,26.452456597222223,21.147600449718112
07,optical,severe,nlm_only_conservative,17.787849490319726,0.6711557264376338,26.116141493055554,20.04379050904492
07,optical,severe,bilateral_only_conservative,17.769678699343494,0.6729948177199518,26.17279513888889,20.319957396090476
07,optical,severe,gaussian_clahe,16.04414759247732,0.6934595618275625,31.786276041666667,32.93527765659208
07,optical,severe,median_clahe,16.084796041449472,0.6933948523306656,31.766584201388888,32.58136899478818
07,optical,severe,bilateral_clahe,16.33243812409138,0.709607875775506,30.627534722222222,32.08262240617741
07,optical,severe,nlm_clahe,16.849623281448554,0.7311768530036443,28.88659722222222,30.7786976389292
07,optical,severe,nlm_clahe_unsharp,16.84301778074321,0.7317940929801781,28.87769965277778,31.044733007149247
07,optical,severe,auto_mask_telea_inpaint,16.474765841819895,0.5158306752033097,33.24891059027778,20.68472363551365
07,optical,motion,degraded_input,20.3017808229735,0.8402508230743786,18.530759548611112,29.535161465117966
07,optical,motion,nlm_only_conservative,20.30911666639245,0.8402072335114609,18.47255642361111,29.18497930871104
07,optical,motion,bilateral_only_conservative,20.337828887742507,0.8408607339830806,18.402391493055557,29.166830605182405
07,optical,motion,gaussian_clahe,16.583430732489955,0.7824818886475999,29.294596354166668,41.51383836266571
07,optical,motion,median_clahe,16.75990801301691,0.7901530774397197,28.856770833333332,41.22533019055525
07,optical,motion,bilateral_clahe,17.10181182944076,0.8062060085622514,27.67509548611111,40.96030808762575
07,optical,motion,nlm_clahe,17.38754893007512,0.8101365915898151,26.533940972222222,40.11739336505081
07,optical,motion,nlm_clahe_unsharp,17.349405833153895,0.8092217494982147,26.53993923611111,40.60156657882323
07,optical,motion,auto_mask_telea_inpaint,18.197493065767716,0.7277288947324488,26.36337673611111,32.115643874625405
07,thermal,moderate,degraded_input,18.689725180938158,0.7597149628010572,25.175221354166666,26.60562291778762
07,thermal,moderate,nlm_only_conservative,18.80108724091416,0.7645581414498626,25.178567708333333,25.76326793499974
07,thermal,moderate,bilateral_only_conservative,18.754794558906795,0.7597627233452889,25.42234375,25.39813424958651
07,thermal,moderate,gaussian_clahe,15.335442708798013,0.6860049971623908,39.56848958333333,32.86836038366593
07,thermal,moderate,median_clahe,15.400599139197322,0.6830169671096732,39.15026041666667,32.52823320870915
07,thermal,moderate,bilateral_clahe,16.077268064447495,0.7163230579404335,36.208684895833336,32.46824801929851
07,thermal,moderate,nlm_clahe,16.785147768402975,0.7410592537537758,33.088203125,32.17453073281133
07,thermal,moderate,nlm_clahe_unsharp,16.773233754506286,0.7413912440665307,33.0274609375,32.588404621691474
07,thermal,moderate,auto_mask_telea_inpaint,18.71621326344424,0.75496701359175,25.144166666666667,26.853889152784532
07,thermal,severe,degraded_input,15.840563950895719,0.5938164769951332,37.33770833333333,21.77272100767278
07,thermal,severe,nlm_only_conservative,16.02941304581498,0.6104912591348048,37.301731770833335,19.66653999711963
07,thermal,severe,bilateral_only_conservative,16.037997134077052,0.6094683457711125,37.38032552083333,19.240365858769763
07,thermal,severe,gaussian_clahe,13.40005822289164,0.5834436598588887,50.19805989583333,30.226213863533445
07,thermal,severe,median_clahe,13.343922273266571,0.5793081410433547,50.4534765625,30.400398946676322
07,thermal,severe,bilateral_clahe,14.501061364108503,0.6494750205446524,44.7334375,28.529090509092306
07,thermal,severe,nlm_clahe,15.24728398758077,0.6819854149470116,41.235052083333336,27.59892723460406
07,thermal,severe,nlm_clahe_unsharp,15.235992010846587,0.6815487959133133,41.19744791666667,27.919340649005683
07,thermal,severe,auto_mask_telea_inpaint,15.697373920032287,0.5313896521234718,37.624036458333336,20.386444273272676
07,thermal,motion,degraded_input,18.6158252999333,0.7670171568174413,25.74920572916667,27.55687033083684
07,thermal,motion,nlm_only_conservative,18.742249518141783,0.7728001279245408,25.71307291666667,26.753919030752524
07,thermal,motion,bilateral_only_conservative,18.708994000035982,0.7700798207594559,25.893177083333335,26.54041523121248
07,thermal,motion,gaussian_clahe,15.608697532824436,0.7177696524938344,38.24688802083333,34.622819880935516
07,thermal,motion,median_clahe,15.541069706775959,0.7108264127453127,38.542317708333336,34.28518578491986
07,thermal,motion,bilateral_clahe,16.317581379297433,0.7466333831165086,35.20197916666667,34.57264326088043
07,thermal,motion,nlm_clahe,17.14597587775756,0.7749229786444598,31.782734375,34.24641644978839
07,thermal,motion,nlm_clahe_unsharp,17.136989828683266,0.7748517342367567,31.747682291666667,34.493265310757884
07,thermal,motion,auto_mask_telea_inpaint,18.58307540617416,0.7496282218422857,25.614388020833335,26.616417688933456
14,optical,moderate,degraded_input,16.841993093461543,0.800194962710871,28.855086805555555,38.22215020899334
14,optical,moderate,nlm_only_conservative,16.454025101093,0.7814019489317073,30.28314236111111,37.370221706564436
14,optical,moderate,bilateral_only_conservative,16.722297355782374,0.7924193579209955,29.355872395833334,37.62322971090102
14,optical,moderate,gaussian_clahe,16.95932312952088,0.8600935527776297,28.18361979166667,54.69355883068882
14,optical,moderate,median_clahe,17.00753551087924,0.8619105830644271,28.02242621527778,54.41890361423555
14,optical,moderate,bilateral_clahe,17.07586560024381,0.8645899024188389,27.67162326388889,54.546305463052335
14,optical,moderate,nlm_clahe,16.85557478813472,0.8539343180357668,28.1847265625,52.66856069731401
14,optical,moderate,nlm_clahe_unsharp,16.91137020731983,0.8585646793141986,27.949730902777777,53.585787240473714
14,optical,moderate,auto_mask_telea_inpaint,14.695360413291956,0.6303077836943896,38.11028211805556,36.12097166345449
14,optical,severe,degraded_input,13.936875619928951,0.5679937586672463,41.256649305555555,24.978582074197867
14,optical,severe,nlm_only_conservative,13.814756534382113,0.55234253462054,41.85588975694444,23.779169241967963
14,optical,severe,bilateral_only_conservative,13.918007801168436,0.5618004536150668,41.371922743055556,24.125154750502023
14,optical,severe,gaussian_clahe,15.032452331525521,0.7490354084955534,36.11118489583333,42.28268065384267
