modality,degradation,method,PSNR_dB,SSIM_global,MAE_8bit,RMS_contrast
optical,moderate,auto_mask_telea_inpaint,17.643059661326795,0.7580632395157055,27.092398726851854,35.891783158268474
optical,moderate,bilateral_clahe,17.840934740535673,0.850646767493815,25.666182725694444,47.227480367324716
optical,moderate,degraded_input,19.130228093768626,0.8412334204121444,22.258597366898147,35.182523300587675
optical,moderate,gaussian_clahe,17.587286157874374,0.8424094491632509,26.58666015625,47.42085994344611
optical,moderate,median_clahe,17.657040576265945,0.8442859610625127,26.341805555555556,47.13092923400302
optical,moderate,nlm_clahe,17.956178159046466,0.8538120375383715,25.061346932870368,46.38766201039729
optical,moderate,nlm_clahe_unsharp,17.970480460067023,0.8555950470532955,24.951004774305556,46.95386816564974
optical,motion,auto_mask_telea_inpaint,17.46151419998095,0.7482821092250386,27.857413194444444,35.11025120768954
optical,motion,bilateral_clahe,17.057913091372377,0.8103810828304706,27.923748553240742,45.6069293145413
optical,motion,degraded_input,18.15442275108372,0.7915830913322534,24.81545500578704,33.93656685837339
optical,motion,gaussian_clahe,16.758170205062495,0.7974740899229796,28.911404079861114,45.73636831850043
optical,motion,median_clahe,16.796663947028637,0.798018841204644,28.79355758101852,45.51494119771453
optical,motion,nlm_clahe,17.231914463396695,0.8164874684286554,27.12738353587963,44.64141670087133
optical,motion,nlm_clahe_unsharp,17.219450195274753,0.8169701717051634,27.093984375,45.092039684104684
optical,severe,auto_mask_telea_inpaint,15.433309855997413,0.5538039946206016,36.40420283564815,24.925550537352194
optical,severe,bilateral_clahe,16.092085341805745,0.7369824166713607,32.30127097800926,36.413391421082444
optical,severe,degraded_input,16.048387511769054,0.6355728035324822,33.092174479166665,24.24509858698647
optical,severe,gaussian_clahe,15.868393060305698,0.7228123894074833,33.08732928240741,36.736779252554115
optical,severe,median_clahe,15.871035646115194,0.7216219467896331,33.1362181712963,36.50457457970039
optical,severe,nlm_clahe,16.29965791943747,0.7378555306612452,31.516589265046296,34.40946466346008
optical,severe,nlm_clahe_unsharp,16.30789339549392,0.7394250592833016,31.452665653935185,34.65202284529989
thermal,moderate,auto_mask_telea_inpaint,19.075371503004177,0.8482538759457361,24.398630642361113,39.466098861109565
thermal,moderate,bilateral_clahe,17.178570457484394,0.8299641236840428,30.75734592013889,45.49021849818192
thermal,moderate,degraded_input,19.566658337726835,0.8650978138833789,22.764939236111115,38.51024670469831
thermal,moderate,gaussian_clahe,16.555507985021947,0.8095458073198597,33.12183159722222,45.400992849083686
thermal,moderate,median_clahe,16.572703262373945,0.8087417432995953,33.075657552083335,44.95763120585286
thermal,moderate,nlm_clahe,17.915030190983543,0.85217831977348,28.203365885416662,46.03000168725148
thermal,moderate,nlm_clahe_unsharp,17.903499335845325,0.8523317238333573,28.134626736111112,46.46004967975805
thermal,motion,auto_mask_telea_inpaint,18.67981178167896,0.8319165928299418,25.20992621527778,38.49797424331602
thermal,motion,bilateral_clahe,17.04550872562854,0.8253881183220341,31.154841579861113,44.84428965073558
thermal,motion,degraded_input,18.93568903772455,0.8447395255282584,24.25720269097222,37.84394412193665
thermal,motion,gaussian_clahe,16.38048195320483,0.8012799514245468,33.64198133680555,44.41073847116002
thermal,motion,median_clahe,16.3558475199594,0.797810745752623,33.71391927083334,44.07159578409289
thermal,motion,nlm_clahe,17.65617706095436,0.843703616421891,28.893704427083335,45.076637505200175
thermal,motion,nlm_clahe_unsharp,17.63946036704501,0.8434388027057186,28.86109592013889,45.36471286391534
thermal,severe,auto_mask_telea_inpaint,15.682751081317832,0.6420910345426042,36.71819444444444,29.74680701659999
thermal,severe,bilateral_clahe,15.48334537174294,0.742467306327088,38.41866319444444,36.61424117134129
thermal,severe,degraded_input,16.079744685837785,0.6812287503058903,34.88335503472222,28.352064120041547
thermal,severe,gaussian_clahe,14.514452378422858,0.6873853231302723,42.333233506944445,37.07142943938387
thermal,severe,median_clahe,14.476392129846959,0.6826742301136591,42.456243489583336,36.95072331636489
thermal,severe,nlm_clahe,16.07322601968133,0.7662282686162175,35.98200086805556,36.51354796642423
thermal,severe,nlm_clahe_unsharp,16.056463640560132,0.7657777110233491,35.96277126736111,36.84017048660822
