row,degraded_rmse,degraded_mae,degraded_correlation,linear_baseline_rmse,linear_baseline_mae,linear_baseline_correlation,learned_restoration_rmse,learned_restoration_mae,learned_restoration_correlation
16000,0.997420072555542,0.4234068691730499,0.09981239048402872,0.9981160759925842,0.4251526892185211,0.0994908767743263,0.7179639339447021,0.3241593837738037,0.6960904946171916
17200,0.9928936958312988,0.3780214786529541,0.1251306231283716,0.9938462972640991,0.3798535466194153,0.12139091170141225,0.37556225061416626,0.25339236855506897,0.930589750752336
18400,0.9713824391365051,0.5295515060424805,0.24024531797345122,0.972212553024292,0.5310341119766235,0.23660089131263726,0.5438659191131592,0.3760090470314026,0.8471603436826489
19500,1.0018380880355835,0.36847591400146484,0.05878224596282176,1.0028680562973022,0.37188151478767395,0.05375677482109218,0.3899117112159729,0.24241161346435547,0.9354688997886846
