source,split,profile,method,row,gap_rmse,gap_nrmse,gap_mae,visible_rmse,whole_rmse,gap_correlation,whole_correlation
am_9db,test,long_gaps,autoregression,17799.027777777777,2.4943615909425465,0.9997251888953751,1.0496641114609595,0.0,0.8249325561881751,0.04192590699556146,0.4163741081273903
am_9db,test,long_gaps,dictionary_24,17799.027777777777,2.6363209774663545,1.0590061167634683,1.0519346652250463,0.0,0.8718812103148363,0.04077539390125595,0.34204820163258753
am_9db,test,long_gaps,dictionary_48,17799.027777777777,2.67385817831621,1.077928676895364,1.0569978621446585,0.0,0.8842954726101112,0.007226000966963331,0.32897174755988323
am_9db,test,long_gaps,dictionary_8,17799.027777777777,2.7441882546992664,1.1071864569742176,1.0979961065641417,0.0,0.9075549590848294,0.02285335056336693,0.3027748515890931
am_9db,test,long_gaps,linear,17799.027777777777,2.5239051049511847,1.0132637591768792,1.1453424578700386,0.0,0.8347031550534011,-0.00139411818211791,0.40118985408155183
am_9db,test,long_gaps,local_dictionary_24,17799.027777777777,2.6948704870323272,1.0822074613329156,1.077067344640685,0.0,0.8912446405268815,0.0486694142982636,0.316245628517722
am_9db,test,long_gaps,local_dictionary_8,17799.027777777777,2.713882248267787,1.0982946298235272,1.0921617413801794,0.0,0.8975321895536771,0.020541430855513115,0.3082127642797253
am_9db,test,long_gaps,local_pca_16,17799.027777777777,2.74450787221408,1.1154297611569068,1.1487937486394872,0.0,0.9076606626421866,0.049906525876755606,0.32371065254934256
am_9db,test,long_gaps,local_pca_32,17799.027777777777,2.625914361077344,1.0630704413590242,1.1118998173465489,0.0,0.8684395454454649,0.08272799540117143,0.3574521348195573
am_9db,test,long_gaps,local_pca_8,17799.027777777777,2.681515569973914,1.0899194609920846,1.0987028361666564,0.0,0.8868279168623245,0.07943401771288541,0.34083429036365787
am_9db,test,long_gaps,pca_r32_l01,17799.027777777777,3.4833185236560253,1.4333268506605792,1.4015002135055912,0.0,1.1519993188523128,0.12733850396320562,0.34842129101118696
am_9db,test,long_gaps,pca_r64_l001,17799.027777777777,3.355965352137313,1.3980468823666592,1.4429687981163608,0.0,1.1098812162880796,0.11007311784207077,0.2700092116011235
am_9db,test,long_gaps,pca_r64_l01,17799.027777777777,2.6905972749352003,1.092459911188041,1.15014518271321,0.0,0.8898314084633276,0.1333007497278199,0.3688249209385351
am_9db,test,long_gaps,pca_r64_l1,17799.027777777777,2.5274598956498893,1.013991187685416,1.0299082419075878,0.0,0.8358787915723584,0.09526889870100147,0.3884923300681936
am_9db,test,long_gaps,pca_r96_l01,17799.027777777777,2.618439398153851,1.0633034631196052,1.145382675931285,0.0,0.8659674338260911,0.12577903937323115,0.3719623673754668
am_9db,test,long_gaps,pchip,17799.027777777777,2.5279440146703576,1.0151872648786293,1.1523224376499468,0.0,0.8360388988889979,-0.002624111530586354,0.39724890691585935
am_9db,test,long_gaps,template_1,17799.027777777777,3.281972633966694,1.3687958842812964,1.3389458268848182,0.0,1.0854104248994358,0.03638983048582359,0.2375789068533807
am_9db,test,long_gaps,zero_fill,17799.027777777777,2.4949355374663362,1.0,1.058936116509599,0.0,0.8251223711591498,,0.4152649956844064
am_9db,test,mixed_damage,autoregression,17799.027777777777,3.267180990379517,0.9973825721502505,1.5802788459323454,0.2557293135050768,0.860373798499127,0.060532105474974625,0.39947129044510343
am_9db,test,mixed_damage,dictionary_24,17799.027777777777,3.5662814079142233,1.0951567992249958,1.6930367438786462,0.14950749550848794,0.9100414353276746,-0.04162868696766194,0.2763668403219736
am_9db,test,mixed_damage,dictionary_48,17799.027777777777,3.5999871078607666,1.1021384969377226,1.6962919428275682,0.14240321092583497,0.9152208146828057,-0.055380203005488376,0.2713113671102959
am_9db,test,mixed_damage,dictionary_8,17799.027777777777,3.6058530369805535,1.1105297699004621,1.7165511887308489,0.1693905492354313,0.9289777966026276,-0.01847693316538124,0.26698340680314675
am_9db,test,mixed_damage,linear,17799.027777777777,3.2791541252553125,1.001792856716,1.609843800453328,0.2557293135050768,0.8631880802564295,0.0008043651021435046,0.3795539015191037
am_9db,test,mixed_damage,local_dictionary_24,17799.027777777777,3.9624049611056216,1.2096513506917839,1.882697738893543,0.2557293135050768,1.0305790429648694,0.03687039655680093,0.1568275856192543
am_9db,test,mixed_damage,local_dictionary_8,17799.027777777777,3.520866480032006,1.0804643370979818,1.6866373265412533,0.2557293135050768,0.9238341831089496,0.13005715038748808,0.25468474094268573
am_9db,test,mixed_damage,local_pca_16,17799.027777777777,3.346265020014339,1.0237773652628464,1.592118313414497,0.2557293135050768,0.8798371957355497,0.07697786588986938,0.27841419708552784
am_9db,test,mixed_damage,local_pca_32,17799.027777777777,3.327439852644586,1.0186578159724589,1.607271698638221,0.2557293135050768,0.8750925230525036,0.08467047034803944,0.2914749988927287
am_9db,test,mixed_damage,local_pca_8,17799.027777777777,3.432999656461815,1.0585047344067613,1.6349796184594267,0.2557293135050768,0.9012575213211679,0.09017279774837758,0.25463623560677484
am_9db,test,mixed_damage,pca_r32_l01,17799.027777777777,3.688823699014038,1.13999866429346,1.7894296068420077,0.1637706487210718,0.9378155596644836,0.14364405169833594,0.35623964012889603
am_9db,test,mixed_damage,pca_r64_l001,17799.027777777777,4.477232727811507,1.421986055970551,2.2934849605232506,0.13782021351537235,1.12825640811364,0.08274125420668296,0.235920988478583
am_9db,test,mixed_damage,pca_r64_l01,17799.027777777777,3.392768400107371,1.0419063789859866,1.6820604686143217,0.1413896863094983,0.8611612366302536,0.1008314095434693,0.35226301326392717
am_9db,test,mixed_damage,pca_r64_l1,17799.027777777777,3.316685354155233,1.0134389467937908,1.5825063356355211,0.15228668056894534,0.846173578576455,0.06608972607365637,0.3643516209811829
am_9db,test,mixed_damage,pca_r96_l01,17799.027777777777,3.3164881817210814,1.0146787743740784,1.633439755444507,0.12461677396414148,0.8390290533626286,0.1150296270776049,0.38224596167730374
