source_file,method,PSNR_dB,SSIM_global,MAE_8bit,RMS_contrast
ORB3H_p1350_tr60_AM_9dB_v1.h5,bilateral_clahe,16.94663936018369,0.7285126233049743,29.44583012820513,32.37120031406691
ORB3H_p1350_tr60_AM_9dB_v1.h5,bilateral_only_conservative,17.914361075689783,0.6482945242574112,23.25387439903846,23.58771553383267
ORB3H_p1350_tr60_AM_9dB_v1.h5,blind_trace_interpolation,18.09120835751383,0.6876291569851767,22.786615985576923,26.62858875915149
ORB3H_p1350_tr60_AM_9dB_v1.h5,degraded_input,17.890345343156312,0.6487323815874224,23.246010416666667,23.90223133026911
ORB3H_p1350_tr60_AM_9dB_v1.h5,gaussian_clahe,16.520362027674487,0.7212160094270184,31.41236798878205,32.98915628495587
ORB3H_p1350_tr60_AM_9dB_v1.h5,mask_assisted_telea_inpaint,18.133937890387752,0.7200411581844801,25.113612980769233,25.462905603074717
ORB3H_p1350_tr60_AM_9dB_v1.h5,median_clahe,16.52613989295343,0.7184758197202736,31.303015224358973,32.91860800757773
ORB3H_p1350_tr60_AM_9dB_v1.h5,nlm_clahe,17.907138189013118,0.7378524170998859,24.483151442307694,31.032240847857814
ORB3H_p1350_tr60_AM_9dB_v1.h5,nlm_clahe_unsharp,17.91097486956508,0.7394360883200026,24.449258413461536,31.19700126405503
ORB3H_p1350_tr60_AM_9dB_v1.h5,nlm_only_conservative,17.91489673945545,0.6532460987782085,23.175846354166666,23.697905652001456
ORB3H_p1350_tr60_Ch_9dB_v1.h5,bilateral_clahe,17.116689120131753,0.7241512101137961,29.064114783653846,30.632181641784246
ORB3H_p1350_tr60_Ch_9dB_v1.h5,bilateral_only_conservative,18.108435457009218,0.6566036896256164,22.943416666666664,23.220022423093518
ORB3H_p1350_tr60_Ch_9dB_v1.h5,blind_trace_interpolation,18.254455652315734,0.6934795809637158,22.525872996794874,26.296640104612255
ORB3H_p1350_tr60_Ch_9dB_v1.h5,degraded_input,18.08106638873135,0.6567668386431362,22.943296073717946,23.53751083925929
ORB3H_p1350_tr60_Ch_9dB_v1.h5,gaussian_clahe,16.68321379620955,0.7160498392334016,30.986700721153845,31.260265218479887
ORB3H_p1350_tr60_Ch_9dB_v1.h5,mask_assisted_telea_inpaint,18.081313200852783,0.7127492482180577,25.170660256410258,25.558581182061918
ORB3H_p1350_tr60_Ch_9dB_v1.h5,median_clahe,16.665748391273624,0.7138736568310302,30.998331931089744,31.308634990291587
ORB3H_p1350_tr60_Ch_9dB_v1.h5,nlm_clahe,18.104452343765452,0.7345045099966148,24.04744831730769,29.410450275242553
ORB3H_p1350_tr60_Ch_9dB_v1.h5,nlm_clahe_unsharp,18.108890356228095,0.7361431535513272,24.013101362179487,29.57978706159978
ORB3H_p1350_tr60_Ch_9dB_v1.h5,nlm_only_conservative,18.106391736303507,0.6613302490341393,22.87432391826923,23.316832750983266
ORB3H_p1350_tr60_v3.h5,bilateral_clahe,16.472482713312488,0.696545685847131,30.307107972756413,33.58285121647822
ORB3H_p1350_tr60_v3.h5,bilateral_only_conservative,17.275873041043067,0.6098535189300129,24.283104967948717,24.107269597097506
ORB3H_p1350_tr60_v3.h5,blind_trace_interpolation,17.470035267625363,0.6533117082480577,23.735044270833335,27.380934192979403
ORB3H_p1350_tr60_v3.h5,degraded_input,17.258290112856365,0.6108702555209884,24.26932451923077,24.426269966060218
ORB3H_p1350_tr60_v3.h5,gaussian_clahe,16.085334513422698,0.6877222111024469,32.2613327323718,34.098983087812904
ORB3H_p1350_tr60_v3.h5,mask_assisted_telea_inpaint,18.052227447216204,0.7181851140612862,25.05125480769231,25.095136512717737
ORB3H_p1350_tr60_v3.h5,median_clahe,16.096668350636982,0.6860330621123634,32.13149358974359,34.06690788266394
ORB3H_p1350_tr60_v3.h5,nlm_clahe,17.274740172724535,0.7040949093526684,25.574189302884612,32.183963943962524
ORB3H_p1350_tr60_v3.h5,nlm_clahe_unsharp,17.28266119931596,0.7060420876045692,25.532128004807692,32.34375311986642
ORB3H_p1350_tr60_v3.h5,nlm_only_conservative,17.27388186166214,0.6146797857746586,24.202480168269233,24.222475862589725
